stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
23998,23998,"СТ. МЕТРО ""ВЫБОРГСКАЯ""",59.969813,30.348625,0,2,bus
23992,23992,"СТ. МЕТРО ""ЛИГОВСКИЙ ПР.""",59.922064,30.351996,0,2,bus
23995,23995,"СТ. МЕТРО ""ЗВЕНИГОРОДСКАЯ""",59.923126,30.335635,0,2,bus
23950,23950,"СТ. МЕТРО ""ПЛ. МУЖЕСТВА""",59.999668,30.365330,0,2,bus
23951,23951,"УЛ. КАРБЫШЕВА, 10",59.997670,30.362180,0,2,bus
23949,23949,"СТ. МЕТРО ""ПЛ. МУЖЕСТВА""",59.999687,30.365147,0,2,bus
23959,23959,УЛ. ЧАЙКОВСКОГО,59.946902,30.348642,0,2,bus
23958,23958,ВЕРЕЙСКАЯ УЛ.,59.918586,30.323481,0,2,bus
23957,23957,"БОТКИНСКАЯ УЛ., 25",59.959305,30.347418,0,2,bus
23956,23956,БОТКИНСКАЯ УЛ.,59.958682,30.352997,0,2,bus
23954,23954,УЛ. АЛЕКСАНДРА МАТРОСОВА,59.982132,30.342912,0,2,bus
23953,23953,"СТ. МЕТРО ""ЛЕСНАЯ""",59.985377,30.342214,0,2,bus
23967,23967,"СТ. МЕТРО ""ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ""",59.916088,30.317078,0,2,bus
23966,23966,ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,59.917549,30.319873,0,2,bus
23965,23965,ЗВЕНИГОРОДСКАЯ УЛ.,59.924084,30.336980,0,2,bus
23964,23964,РАЗЪЕЗЖАЯ УЛ.,59.925813,30.341100,0,2,bus
23963,23963,НЕВСКИЙ ПР.,59.933311,30.347810,0,2,bus
23962,23962,"СТ. МЕТРО ""ЧЕРНЫШЕВСКАЯ""",59.943990,30.357800,0,2,bus
23961,23961,"СТ. МЕТРО ""ЧЕРНЫШЕВСКАЯ""",59.943820,30.357821,0,2,bus
23960,23960,УЛ. ЧАЙКОВСКОГО,59.946996,30.348862,0,2,bus
23674,23674,"РАССТАННАЯ УЛ., 20",59.906440,30.350793,0,2,bus
23675,23675,УЛ. ШАВРОВА,60.024125,30.235641,0,2,bus
23676,23676,"КОЛЛЕКТИВНЫЙ САД ""СЕВЕРНЫЙ""",60.022006,30.108038,0,2,bus
23658,23658,ЯХТЕННАЯ УЛ.,59.994136,30.218529,0,2,bus
23657,23657,ПОЛИГРАФМАШЕВСКИЙ ПРОЕЗД,59.993321,30.224467,0,2,bus
23656,23656,МЕБЕЛЬНЫЙ ПРОЕЗД,59.991802,30.236344,0,2,bus
23655,23655,СТАРОДЕРЕВЕНСКАЯ УЛ.,59.990960,30.242695,0,2,bus
23654,23654,"САДОВОДСТВО ""КЛИМОВЕЦ"" (ВЫСАДКА)",60.084117,30.325785,0,2,bus
23634,23634,ПОС. ЕЛИЗАВЕТИНКА (ВЫСАДКА),60.261138,30.212005,0,2,bus
23616,23616,УЛ. КИПРЕНСКОГО,59.895610,29.808750,0,2,bus
23619,23619,РАЗВИЛКА,60.105666,30.247488,0,2,bus
23620,23620,ДОРОГА НА МАЛЫЕ ЮККИ,60.119757,30.266385,0,2,bus
23614,23614,"БЛАГОДАТНАЯ УЛ., УГ. НОВОИЗМАЙЛОВСКОГО ПР.",59.875472,30.306407,0,2,bus
23615,23615,УЛ. ДЕГТЯРЕВА,59.910720,29.763460,0,2,bus
23594,23594,"ПЛАНЕРНАЯ УЛ., 49",60.017285,30.228291,0,2,bus
23574,23574,"УЛ. ФРУНЗЕ, УГ. ПР. Ю. ГАГАРИНА",59.862048,30.336822,0,2,bus
23556,23556,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,59.970511,30.422500,0,2,bus
23558,23558,"УЛ. ФРУНЗЕ, УГ. УЛ. ЛЕНСОВЕТА",59.861956,30.329941,0,2,bus
23555,23555,"ПУЛКОВСКАЯ УЛ., УГ. УЛ. ОРДЖОНИКИДЗЕ",59.842423,30.348695,0,2,bus
23554,23554,ПОЛИКЛИНИКА,59.913940,29.767225,0,2,bus
23803,23803,АЭРОДРОМНАЯ УЛ.,59.996969,30.299601,0,2,bus
23802,23802,БАУШЕВСКАЯ УЛ.,59.883706,29.849097,0,2,bus
23801,23801,АФОНСКАЯ ПОСАДКИ ВЫСАДКИ НЕТ,60.032161,30.300998,0,2,bus
23783,23783,"БЛАГОДАТНАЯ УЛ., КУБИНСКАЯ",59.875685,30.299684,0,2,bus
23786,23786,ДЕР. ГЛОБИЦЫ,59.741553,29.210795,0,2,bus
23787,23787,ДЕР. ГОРКИ,59.686175,29.397897,0,2,bus
23784,23784,ДОРОГА НА СОСНОВЫЙ БОР,59.761476,29.238173,0,2,bus
23785,23785,ДОРОГА НА СОСНОВЫЙ БОР,59.761241,29.238500,0,2,bus
23761,23761,"ДЕР. ЛОПУХИНКА, МАГАЗИН",59.731074,29.403024,0,2,bus
23760,23760,ДЕР. ЗИМИТИЦЫ,59.550571,29.113607,0,2,bus
23763,23763,ДЕР. КЛЯСИНО,59.661458,29.575029,0,2,bus
23762,23762,"ДЕР. ЛОПУХИНКА, МАГАЗИН",59.730517,29.404162,0,2,bus
23755,23755,"ДЕР. КЕЛОЗИ, 2",59.657355,29.825414,0,2,bus
23756,23756,ДЕР. АНДРЕЕВКА,59.643471,29.820246,0,2,bus
23757,23757,ДЕР. АНДРЕЕВКА,59.643498,29.820557,0,2,bus
23758,23758,РАССТАННЫЙ ПЕР.,59.905846,30.355540,0,2,bus
23759,23759,ДЕР. ЗИМИТИЦЫ,59.550723,29.113243,0,2,bus
23735,23735,УЛ. КОСТЮШКО,59.842595,30.308497,0,2,bus
23734,23734,УЛ. КОСТЮШКО,59.842768,30.308583,0,2,bus
23740,23740,ДЕР. ШЕЛКОВО,59.641569,29.439092,0,2,bus
23739,23739,ДЕР. ШЕЛКОВО,59.641705,29.439307,0,2,bus
23738,23738,ДОРОГА НА РОПШУ,59.673319,29.852867,0,2,bus
23736,23736,ДЕР. КИПЕНЬ,59.673590,29.851794,0,2,bus
23716,23716,ВАЗАСКИЙ ПЕР.,59.986075,30.319440,0,2,bus
23714,23714,5-Я СОВЕТСКАЯ УЛ.,59.933749,30.369804,0,2,bus
23715,23715,5-Я СОВЕТСКАЯ УЛ.,59.935056,30.371000,0,2,bus
23697,23697,МЕБЕЛЬНЫЙ ПРОЕЗД,59.991450,30.237655,0,2,bus
23696,23696,ПОЛИГРАФМАШЕВСКИЙ ПРОЕЗД,59.993033,30.225021,0,2,bus
23698,23698,СТАРОДЕРЕВЕНСКАЯ УЛ.,59.990704,30.243985,0,2,bus
23694,23694,МЕБЕЛЬНАЯ УЛ. УГОЛ ТУРИСТСКОЙ УЛ.,59.995115,30.207778,0,2,bus
23695,23695,ЯХТЕННАЯ УЛ.,59.993814,30.219303,0,2,bus
24398,24398,УЛ. ОСКАЛЕНКО,59.984481,30.278634,0,2,bus
24393,24393,пр. Маршала Жукова,59.832968,30.196380,0,2,trolley
24391,24391,Ситцевая улица,59.997129,30.255305,0,2,trolley
24388,24388,"оборотная станция ""пл.Труда""",59.931330,30.293470,0,2,trolley
24414,24414,ул.Доблести,59.861900,30.177540,0,2,trolley
7070,7070,УЧИТЕЛЬСКАЯ УЛ,60.033795,30.393698,0,2,bus
24415,24415,Ленинский пр. д.55,59.863316,30.171120,0,2,trolley
7069,7069,ПР. ЛУНАЧАРСКОГО,60.031437,30.392572,0,2,bus
24428,24428,Суздальский пр.,60.047126,30.406187,0,2,trolley
24421,24421,"оборотная станция ""ст.м. пр.Ветеранов""",59.845006,30.249069,0,2,trolley
24420,24420,"оборотная станция ""ул.Генерала Хрелева""",59.995551,30.282916,0,2,trolley
24423,24423,ул. Доблести,59.860782,30.178647,0,2,trolley
24417,24417,Ленинский пр. д.55,59.863070,30.171130,0,2,trolley
24419,24419,Ленинский пр. д. 72,59.860957,30.180802,0,2,trolley
24418,24418,Ленинский пр. д.72,59.861156,30.180920,0,2,trolley
24442,24442,ИНТЕРНАЦИОНАЛЬНАЯ УЛ.,59.990680,29.789638,0,2,bus
24443,24443,ИНТЕРНАЦИОНАЛЬНАЯ УЛ.,59.990390,29.790185,0,2,bus
24330,24330,"станция метро ""Гостиный двор""",59.934530,30.334180,0,2,trolley
24328,24328,"Торговый комплекс ""Лента""",59.935550,30.495230,0,2,trolley
24334,24334,Измайловский пр.,59.915900,30.308041,0,2,trolley
24323,24323,ул. Карпинского,60.006770,30.422700,0,2,tram
24322,24322,"пр. Науки,10",60.014860,30.390020,0,2,tram
24321,24321,"оборотная станция ""ул. Коммуны""",59.962680,30.493140,0,2,tram
24320,24320,пр. Металлистов,59.953390,30.422540,0,2,tram
24326,24326,"конечная станция ""ул.Шаврова""",60.024670,30.234400,0,2,trolley
24325,24325,"УЛ. НАХИМОВА, 11",59.941047,30.223475,0,2,bus
24347,24347,ул. Нахимова,59.939760,30.219530,0,2,trolley
24344,24344,ул. Кораблестроителей д.35,59.956300,30.223840,0,2,trolley
24350,24350,ул. Кораблестроителей д. 35,59.956220,30.225560,0,2,trolley
24348,24348,ул. Бонч-Бруевича,59.944310,30.391140,0,2,trolley
24349,24349,ул. Кораблестроителей,59.941600,30.216760,0,2,trolley
24338,24338,ЦПКиО,59.984200,30.256820,0,2,tram
24336,24336,Елецкая ул.,60.017790,30.321860,0,2,tram
24337,24337,ЦПКиО,59.984140,30.255810,0,2,tram
24361,24361,ЦЕНТР,60.165817,29.867737,0,2,bus
24362,24362,ЦЕНТР,60.166044,29.867599,0,2,bus
24353,24353,"К.С""река Оккервиль""",59.908940,30.495080,0,2,trolley
24355,24355,Товарищеский пр.,59.908230,30.489600,0,2,trolley
24356,24356,Товарищеский пр.,59.908610,30.490160,0,2,trolley
24359,24359,"станция метро ""ул. Дыбенко""",59.906670,30.483300,0,2,trolley
24378,24378,оборотная станция метро Ломоносовская,59.877951,30.441621,0,2,trolley
24379,24379,НАБ. Р. ФОНТАНКИ,59.919512,30.318051,0,2,bus
24381,24381,"оборотная станция ""пл.Конституции""",59.851760,30.306710,0,2,trolley
24522,24522,ТИМЯШКИНО,59.870805,29.830910,0,2,bus
24523,24523,ТИМЯШКИНО,59.870584,29.831318,0,2,bus
24542,24542,"АЭРОПОРТ ""ПУЛКОВО 1""",59.797528,30.268791,0,2,bus
24540,24540,"СТ.МЕТРО ""АВТОВО""",59.867990,30.260590,0,2,bus
24556,24556,КАНТЕМИРОВСКАЯ УЛ.,59.985257,30.334633,0,2,bus
24557,24557,"СТ. МЕТРО ""ПАРНАС"" (ВЫСАДКА)",60.067984,30.334774,0,2,bus
24558,24558,"СТ. МЕТРО ""ПАРНАС""",60.067197,30.336598,0,2,bus
24559,24559,"ОКТЯБРЬСКАЯ УЛ.,УГ. УЛ. РЕМИЗОВА",59.741645,30.617737,0,2,bus
24555,24555,ЛЕНИНСКИЙ ПР.,59.856368,30.203457,0,2,bus
24565,24565,"ШПАЛЕРНАЯ УЛ., УГ. ПОТЁМКИНСКОЙ УЛ.",59.948594,30.367682,0,2,bus
24564,24564,"КИРОЧНАЯ УЛ., УГ.  СУВОРОВСКОГО ПР.",59.942606,30.381035,0,2,bus
24566,24566,ПР. МАРШАЛА  БЛЮХЕРА,59.976831,30.436336,0,2,bus
24561,24561,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""",59.870931,30.379924,0,2,bus
24560,24560,"ОКТЯБРЬСКАЯ УЛ.,УГ. УЛ. РЕМИЗОВА",59.741828,30.617129,0,2,bus
